type of algorithm,difference with social optimum
PS-RSGM,92.80636089400812
CP-RSGM,92.27420431296332
RSGM,95.22566388863717
PS-RSGM,84.96995459587265
CP-RSGM,82.97218374311532
RSGM,90.00014217625574
PS-RSGM,29.212656655468642
CP-RSGM,26.618206008596907
RSGM,33.25627943885619
PS-RSGM,46.26668562602554
CP-RSGM,44.372012310451616
RSGM,48.3060276858327
PS-RSGM,30.58061801998032
CP-RSGM,26.200724886696158
RSGM,35.83087795053944
PS-RSGM,71.79112383765238
CP-RSGM,69.6031178243689
RSGM,76.79070060442822
PS-RSGM,62.64863419606673
CP-RSGM,62.284870328403166
RSGM,66.79795126273925
PS-RSGM,22.681264579240803
CP-RSGM,18.791332045263562
RSGM,28.554287775608493
PS-RSGM,47.80634830930787
CP-RSGM,46.418196653621756
RSGM,49.271967963392484
PS-RSGM,65.83794295617687
CP-RSGM,65.33647514116689
RSGM,65.32117502401283
PS-RSGM,71.09364348234911
CP-RSGM,70.84952971556794
RSGM,70.80509204084555
PS-RSGM,76.8277083907928
CP-RSGM,77.2136218578296
RSGM,77.67442745584958
PS-RSGM,111.18295404862147
CP-RSGM,111.40715415646142
RSGM,112.4454731554309
PS-RSGM,43.20144749081108
CP-RSGM,42.03644719077835
RSGM,47.447257045717826
PS-RSGM,67.98310389607889
CP-RSGM,66.71298212819673
RSGM,72.75882851433803
PS-RSGM,77.43300470505264
CP-RSGM,77.01947499356964
RSGM,79.34734474344651
PS-RSGM,89.51507933039457
CP-RSGM,89.51092112663989
RSGM,92.78939445296996
PS-RSGM,55.46839921286564
CP-RSGM,54.593131710724535
RSGM,60.563918975187654
PS-RSGM,75.19509060979792
CP-RSGM,73.36100261328124
RSGM,79.97588435259871
PS-RSGM,37.22286181586798
CP-RSGM,34.5604292546191
RSGM,37.98380565947532
Nash,0.26272698336754363
